objectid_1;objectid;id_rte500;vocation;nb_chausse;nb_voies;etat;acces;res_vert;sens;res_europe;num_route;class_adm;longueur;st_length_;st_length(shape);geo_shape;geo_point_2d
41;37372;37372;Type autoroutier;1 chaussée;1 voie ou 2 voies étroite;Revêtu;Libre;Appartient;Sens unique;;;Sans objet;0.27000001;274.63913998;274.63913997959827;"{""type"": ""LineString"", ""coordinates"": [[1.363803900241257, 43.608974811034514], [1.364025043951421, 43.608820647498035], [1.364744089389502, 43.608753174805614], [1.366285340559531, 43.608605366999306], [1.367068995655605, 43.60844345453959]]}";43.6086830757,1.36541969946
42;37373;37373;Type autoroutier;1 chaussée;1 voie ou 2 voies étroite;Revêtu;Libre;Appartient;Sens unique;;;Sans objet;0.18000001000000002;179.30120494;179.3012049364055;"{""type"": ""LineString"", ""coordinates"": [[1.367068995655605, 43.60844345453959], [1.367915385111707, 43.6079917914313], [1.368316669683879, 43.607730530032335], [1.368712021639676, 43.607372882413706]]}";43.6079509485,1.36792015113
51;45365;45365;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;;D900;Départemental;1.2999999500000001;1295.5353429;1295.5353429029417;"{""type"": ""LineString"", ""coordinates"": [[2.866317099889859, 42.70025589232498], [2.865499115193158, 42.700277345329994], [2.8651027417387223, 42.70036585779565], [2.864904958625009, 42.7004986756422], [2.864696143182192, 42.70065755319197], [2.864623788419232, 42.70084447521115], [2.8646839899813843, 42.70116643038622], [2.8648160110446312, 42.701532532431436], [2.8649770628060542, 42.701996673428475], [2.865037613380668, 42.70216937783174], [2.865118750214365, 42.702401449076255], [2.865226658403266, 42.702654233427474], [2.865264146601458, 42.70278465083591], [2.865290763507836, 42.702871897522506], [2.865318597447076, 42.70296004484584], [2.8653476525837442, 42.703047294599834], [2.865379147957801, 42.70313364831619], [2.86541064342535, 42.70322000203033], [2.865443355948686, 42.70330725637725], [2.865478510806605, 42.70339271557898], [2.86551366369146, 42.70347907387913], [2.865551256846488, 42.70356453613352], [2.865590071233812, 42.70364910080888], [2.865596131193639, 42.703664393214886], [2.865628883659299, 42.70373456458019], [2.865668917323104, 42.70381913077063], [2.8657077299776113, 42.70390459452713], [2.865747763872787, 42.703989160701646], [2.865789014867905, 42.70407462749971], [2.865829048997908, 42.704159193657496], [2.865870302303513, 42.7042437613343], [2.865892137709396, 42.70429054221483], [2.865910336667908, 42.70432832747518], [2.8659879924435163, 42.704486667433905], [2.866035316724113, 42.704582031950316], [2.866076570628766, 42.704666599581486], [2.866119043723195, 42.704751168727945], [2.866161519007262, 42.70483483876018], [2.866170013252296, 42.70485193240711], [2.866203992347748, 42.70491940788648], [2.8662464678765662, 42.7050030778983], [2.866290160540122, 42.70508764852681], [2.866333855394214, 42.70517132003979], [2.866377548310898, 42.705255890646065], [2.866421243416774, 42.70533956213669], [2.866457655070036, 42.70540973792267], [2.8664649386481162, 42.705423233616116], [2.866508634005109, 42.7055069050843], [2.866553548575207, 42.70559057806077], [2.866598463274279, 42.70567425102505], [2.866643378102507, 42.70575792397711], [2.866650657649736, 42.705773217872334], [2.8666882930598003, 42.70584159691694], [2.866733210203565, 42.70592437073942], [2.866779344514593, 42.706008045171664], [2.866824259860058, 42.70609171807422], [2.866848543145989, 42.7061349054531], [2.8668703964898663, 42.70617449337514], [2.866916531196061, 42.706258167768056], [2.866962668088799, 42.70634094304225], [2.867008803059524, 42.706424617408544], [2.867054940215284, 42.70650739265602], [2.867101075450452, 42.70659106699572], [2.867147212869236, 42.70667384221647], [2.867177567585075, 42.70672782637765], [2.867193348368758, 42.706757516529585], [2.8672407051643853, 42.70684029323527], [2.867246776137736, 42.70685109006434], [2.867289283258958, 42.70692217233159], [2.867337859441933, 42.707004950518254], [2.867345149567774, 42.70701574885402], [2.8673888780955643, 42.70708593349708], [2.86744111396514, 42.70716781707344], [2.867494573195402, 42.707247903926856], [2.8675492496517, 42.70732889137415], [2.867603930348285, 42.70740808058694], [2.867661049448057, 42.70748727279156], [2.86771938783221, 42.70756646647778], [2.867778947546954, 42.707644762537115], [2.867838507421853, 42.707723058569094], [2.8679005077641753, 42.70780045847536], [2.867963727406774, 42.70787785985482], [2.868026951292523, 42.70795346298889], [2.868092611583123, 42.70802996820192], [2.868158274081908, 42.708105574273176], [2.868225157927466, 42.70818028270299], [2.868294482264757, 42.70825409498855], [2.868363806777878, 42.70832790723434], [2.868434352644412, 42.70840082183125], [2.868506117835563, 42.708473737883956], [2.868569373511096, 42.7085358541296], [2.8685791043850033, 42.708545756282646], [2.86859126747486, 42.70855835874964], [2.868652091114971, 42.70861777463647], [2.868725078025465, 42.70868979294543], [2.8687956247828383, 42.708762707329214], [2.868866169692117, 42.708836520779194], [2.868935493599618, 42.70891123180318], [2.869002379367615, 42.70898593980437], [2.869060753423893, 42.70905074714668], [2.869199372133001, 42.70921365555266], [2.86926259705477, 42.70929015716053], [2.869325818107481, 42.70936845695278], [2.86938660301016, 42.70944585463088], [2.869877662309932, 42.71011089548845]]}";42.7048891505,2.8666438063
59;45375;45375;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;;D900;Départemental;1.0900000300000001;1092.42486889;1092.4248688927883;"{""type"": ""LineString"", ""coordinates"": [[2.884690906131552, 42.73528349671346], [2.885488437398277, 42.736605178299776], [2.8860806582042633, 42.73752112785629], [2.886416303956584, 42.7380375873633], [2.887041470732741, 42.73896255908671], [2.888083859783082, 42.740507469550046], [2.88900984138591, 42.741715074867166], [2.889686635042321, 42.74247554542725], [2.890731585792968, 42.743376654037235], [2.891270068760891, 42.743753941189674]]}";42.7397414562,2.88772277959
65;57884;57884;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;E11;N109;Nationale;3.25999999;3256.80564988;3256.8056498797605;"{""type"": ""LineString"", ""coordinates"": [[3.79288941762948, 43.619002886971536], [3.792640624126218, 43.619193664103754], [3.791736148637852, 43.61988861980431], [3.791409242759795, 43.62025362870323], [3.7905451791462603, 43.62136669771667], [3.789818618986852, 43.62230329595146], [3.789338096938537, 43.6228484799295], [3.785327533022855, 43.62566698338284], [3.783035587705589, 43.627276207436026], [3.781106738392506, 43.62863172418742], [3.780127035259651, 43.62909947029498], [3.779855458810821, 43.62916980571062], [3.779148579559016, 43.62929545129016], [3.778772549500179, 43.6293368383797], [3.778281017277072, 43.62935655553855], [3.7778448588377582, 43.629348879486905], [3.7756174395274513, 43.62897697055223], [3.77483681342965, 43.62887095934968], [3.774515805956748, 43.628858849817206], [3.773808239063005, 43.62893407529517], [3.7734893558902343, 43.6289876348203], [3.773148600662801, 43.62907284284337], [3.764989969463223, 43.63102289546234], [3.764388577099796, 43.63116659878173], [3.763304341021842, 43.6314261683261], [3.762599449964669, 43.63161288018879], [3.762302209628658, 43.63171214607606], [3.762155447162095, 43.63176176569039], [3.760028761161368, 43.63282045249434]]}";43.6276139247,3.77738405888
81;87683;87683;Type autoroutier;2 chaussée;Sans objet;Revêtu;A péage;N'appartient pas;Double sens;;A680;Autoroute;0.28999999;292.31262479;292.31262478575593;"{""type"": ""LineString"", ""coordinates"": [[1.568604539677124, 43.68856868926612], [1.5671920095244611, 43.687921021218514], [1.5656295842656451, 43.687069766437936]]}";43.6878447915,1.56710425647
84;92128;92128;Type autoroutier;2 chaussée;Sans objet;Revêtu;A péage;Appartient;Double sens;;A20;Autoroute;11.48999977;11489.1624849;11489.162484904718;"{""type"": ""LineString"", ""coordinates"": [[1.527311573096636, 44.99391673688607], [1.526351669230468, 44.990604488206216], [1.5254559861145291, 44.987508310297294], [1.524148566068699, 44.98299373722826], [1.522874292407647, 44.97626699857929], [1.522632383101228, 44.97538487250833], [1.52215741971713, 44.97419977480689], [1.521512749548886, 44.97276387450608], [1.519797596329117, 44.970263717116616], [1.518298960484034, 44.96860030393886], [1.517090359139162, 44.96762873884711], [1.514418937115163, 44.96575781700689], [1.508830002322198, 44.96184587999417], [1.508084301468797, 44.96122172005879], [1.5071066509316, 44.96030627326534], [1.506498026048646, 44.95958488481445], [1.5046826859318831, 44.957076840209915], [1.504459733914926, 44.956638888282704], [1.50300972038344, 44.953802535004556], [1.502046864475296, 44.95148692675191], [1.501738715893032, 44.949588072459946], [1.501665998318582, 44.94822820252985], [1.5017501784593361, 44.94626439564322], [1.501941268384032, 44.94471266874286], [1.502035815071634, 44.94435373380528], [1.502576462938523, 44.94229431966779], [1.503410318293713, 44.93803617923625], [1.5034728927153882, 44.937116690128335], [1.503491249554763, 44.935811183546924], [1.5032510990631671, 44.934263559214486], [1.502703779996474, 44.932492971373364], [1.501750297764441, 44.93045755761921], [1.49953039399902, 44.925725103919504], [1.4991837683541132, 44.92465691213592], [1.4988263830407351, 44.92365971496649], [1.498647498229596, 44.92267123204986], [1.498448946225211, 44.920997190026625], [1.49829267694103, 44.91873838420759], [1.498379155098375, 44.917780503313935], [1.4984824298684711, 44.91662113415931], [1.499380108357617, 44.91002168380026], [1.4995837265192171, 44.90852057658997], [1.4996815824527672, 44.907609678497586], [1.4999577958029722, 44.905051450490156], [1.500118606390569, 44.90391807626904], [1.500388931918338, 44.90200543748589], [1.5008971434702572, 44.89920270370312], [1.501506040991464, 44.89675522919965], [1.501652207616642, 44.89616826787032]]}";44.9465177362,1.50837581269
85;92129;92129;Type autoroutier;2 chaussée;Sans objet;Revêtu;A péage;Appartient;Double sens;;A20;Autoroute;22.46999931;22473.7686182;22473.76861821336;"{""type"": ""LineString"", ""coordinates"": [[1.499929557298359, 44.342478443933736], [1.5000127804926011, 44.34194119069974], [1.50029547764038, 44.3400291771465], [1.500316231908576, 44.3393398202076], [1.500378765887276, 44.33854119488677], [1.500457560661609, 44.33769687558546], [1.500786642060317, 44.33550009870488], [1.500839101584114, 44.33517670162636], [1.5008903780079201, 44.33485058752466], [1.50124710435112, 44.33355179863311], [1.501625983117113, 44.33193640238546], [1.502347932971705, 44.32986832128602], [1.5032720024449242, 44.327933533385945], [1.5047434621818119, 44.325547027278496], [1.506167307103972, 44.3233921378166], [1.5075460483324612, 44.321374368007646], [1.507750853436258, 44.32107374480696], [1.507973232689243, 44.32072474334177], [1.508436291256718, 44.319998177854984], [1.5087070576936061, 44.319573305725264], [1.510507537695384, 44.31657899464954], [1.5112413854076912, 44.31456325598115], [1.51155621520032, 44.31207638946131], [1.511375351723681, 44.30998704935947], [1.511000003507128, 44.3083335220572], [1.510630591183069, 44.30707530519111], [1.510256773559762, 44.30555594199735], [1.5102662562338929, 44.30524276739911], [1.510272097233607, 44.30492504202592], [1.509494754680151, 44.300634503078754], [1.509187361087283, 44.29883244805464], [1.509137170718428, 44.29854817495756], [1.50907596410766, 44.29820613369439], [1.5090003372765919, 44.29779277370535], [1.508121485035923, 44.293413532097446], [1.5075326692704372, 44.29087752208235], [1.507457101200576, 44.290653223988755], [1.5073372380239571, 44.29030228372001], [1.507231537665267, 44.28993713106038], [1.506861102448733, 44.28863028047602], [1.506482768466274, 44.28762401850512], [1.5057354218905141, 44.286305740895436], [1.505280282084314, 44.28521920583056], [1.505130427889021, 44.28481834002004], [1.504882836313907, 44.284131653496445], [1.504794032999605, 44.28360197639856], [1.504633837542925, 44.28221515463868], [1.504755053777363, 44.27999399586287], [1.50487533703441, 44.278283288614034], [1.5050868565238371, 44.27591571593143], [1.5051942308980641, 44.27431377072577], [1.505292423246957, 44.273583175918795], [1.505338916395933, 44.27324530182391], [1.505633190237496, 44.271064318212474], [1.5059650356322831, 44.268930661955785], [1.506100627180905, 44.268063734481984], [1.5064979396603522, 44.26348941344779], [1.5082734592804612, 44.25656880071848], [1.509387052122024, 44.253183581300576], [1.509577619098832, 44.25260459060097], [1.509689297219131, 44.25226310181244], [1.5099574656702779, 44.25144749167942], [1.510508263186773, 44.25055288912452], [1.510769894790152, 44.25012880746185], [1.5111231089609172, 44.24955562140798], [1.5126754733392822, 44.24767167967175], [1.515599981505398, 44.24503654236058], [1.5192882791309579, 44.242300001337405], [1.5197508354089821, 44.24185070188803], [1.521535460506148, 44.2402614649665], [1.5236209137349932, 44.238464684246324], [1.527402242859507, 44.23529611565404], [1.528974272755776, 44.2337768387254], [1.5298237818967602, 44.23283664042016], [1.530772599004557, 44.23178343222184], [1.532472232979063, 44.22967974982088], [1.533730495318556, 44.228178725444316], [1.535302649861209, 44.226057999182615], [1.536071927040578, 44.224627850469815], [1.536369151129507, 44.224073655204016], [1.5381643314823732, 44.22067300799832], [1.538424759928981, 44.22008771031235], [1.539065287166193, 44.21864412968937], [1.540924952223575, 44.214036175023104], [1.5415119725818411, 44.21203912290553], [1.541745503494804, 44.2108899086929], [1.541864465695588, 44.210302727424505], [1.541892846010279, 44.20992860173862], [1.542025925275628, 44.20820639773373], [1.541862603924185, 44.20686556301603], [1.541681834709625, 44.205375956679084], [1.541348525246005, 44.204027462744676], [1.54080376516459, 44.202726571125694], [1.540144958269289, 44.20143316285855], [1.539093246156269, 44.1993612133525], [1.538282480751, 44.197557135510415], [1.537573871595082, 44.196307162163194], [1.5374048675006722, 44.195872794084266], [1.5373203664225832, 44.19565560998369], [1.536717849275314, 44.194223396666935], [1.5357621257386311, 44.19096168254038], [1.5354930395573692, 44.189557319775616], [1.535310933436235, 44.188225237078754], [1.534806326033139, 44.186009317020705], [1.534200808395164, 44.18411793414048], [1.533871475452947, 44.183208796520574], [1.5332084662614651, 44.181366154761115], [1.5331489631755062, 44.18119971594962], [1.532043846911838, 44.178749799909454], [1.531723719782496, 44.178116252296284], [1.530616931383099, 44.17592916992081], [1.529225582731247, 44.17357622109755], [1.528568097702353, 44.17268967746911], [1.528130642618293, 44.17209775768766], [1.527037522756691, 44.17035824103078], [1.5256161969182331, 44.16854498537598], [1.5239632158775, 44.16640901296059], [1.5225435549894741, 44.164731675693155], [1.52149818780022, 44.16337984816833], [1.520904557426412, 44.16249952226656], [1.519608828229753, 44.160584358427414], [1.5189774332016, 44.159763828129975], [1.5161095156892812, 44.15604673156466], [1.515890645698998, 44.15576109857226], [1.515415479471638, 44.15513891197228], [1.514592047979825, 44.154063693860685], [1.514062474654323, 44.15337144718023]]}";44.2457909482,1.51923485281
108;98614;98614;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;;N106;Nationale;5.3499999;5345.6521784;5345.652178403641;"{""type"": ""LineString"", ""coordinates"": [[4.098760201216927, 44.10777883186199], [4.099337362132149, 44.10680900207197], [4.099650233178673, 44.106385501402], [4.100724052733431, 44.104614963736516], [4.101312405927936, 44.10364591224777], [4.10236440911771, 44.10191518508172], [4.103176724107232, 44.10064592817568], [4.103584974594805, 44.09986230523499], [4.103682118007072, 44.09952557869244], [4.103799086807835, 44.09892311446953], [4.104078910940905, 44.09705793011864], [4.104158233452543, 44.09606068973691], [4.104300820136764, 44.09516992723487], [4.10456701636679, 44.09395567356795], [4.104665637186073, 44.09363153394483], [4.104833579928828, 44.09308256387879], [4.105373689681333, 44.09201856798599], [4.107402888291457, 44.08828055973601], [4.109842551754192, 44.08396048234917], [4.110169661049547, 44.0833810895057], [4.111608751185256, 44.08072373821488], [4.111985814266546, 44.07957135704312], [4.112489073696295, 44.07388829634508], [4.113102491869924, 44.07109890200131], [4.113723438934647, 44.06933556268258], [4.11415415421222, 44.068506675826704], [4.114474898176792, 44.06811906295117], [4.114877260690986, 44.067755821480404], [4.115926096850778, 44.06680991920206], [4.117423355697117, 44.06568841035151], [4.118031975146986, 44.06521413866552], [4.119072097440155, 44.06440151239399], [4.120224080729326, 44.06350222119109], [4.120449790437517, 44.06330008664827]]}";44.0848497474,4.10892105777
145;125529;125529;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;;A64;Autoroute;0.16;156.73216007;156.73216006980388;"{""type"": ""LineString"", ""coordinates"": [[1.268489586157753, 43.3538787144366], [1.267986714936306, 43.35251733687498]]}";43.3531980257,1.26823815055
118;99821;99821;Type autoroutier;2 chaussée;Sans objet;Revêtu;A péage;Appartient;Double sens;;A64;Autoroute;6.8499999;6854.02875228;6854.028752278026;"{""type"": ""LineString"", ""coordinates"": [[1.320815510585606, 43.47570246170726], [1.322229234791189, 43.477562821684785], [1.322364901197966, 43.47774129935354], [1.324314660649095, 43.48003917394125], [1.325805598572986, 43.48175940014331], [1.326724279014932, 43.48297493652134], [1.327706016494429, 43.48431832293085], [1.328550956661662, 43.4856073986326], [1.329347872736545, 43.486976718874345], [1.330032301011071, 43.488050036323166], [1.330417914265075, 43.488986465000984], [1.331302885811553, 43.490816975064966], [1.332308774688087, 43.49235867250369], [1.333240541552196, 43.493474470942424], [1.3344077980480291, 43.49465507177309], [1.335823584095637, 43.49583497484081], [1.337734592839024, 43.49737521115203], [1.3395231739686722, 43.49870656288353], [1.341531283988193, 43.500101535510765], [1.342946542194328, 43.50096637305784], [1.343269281224945, 43.501135085120396], [1.344484626892189, 43.501774573426374], [1.348428994156678, 43.50377129078063], [1.350799753502975, 43.504950236771386], [1.355785307375913, 43.50743135803066], [1.357011970921177, 43.50807357598718], [1.358255681276738, 43.50872593686669], [1.359768745461459, 43.50947234665653], [1.361456329709891, 43.510343757966304], [1.363677049422766, 43.511512954299576], [1.365923685194277, 43.512817480394396], [1.36630213352564, 43.51303195755935], [1.3674618315691571, 43.5136892460905], [1.368704872867176, 43.514417067864755], [1.370082105744495, 43.515253979873755], [1.3713485564920331, 43.51611800811623], [1.372614969613543, 43.51707201123486], [1.37646673751569, 43.52014079601479], [1.3766428641026232, 43.520297315012726]]}";43.5002646854,1.34662785707
120;99823;99823;Type autoroutier;2 chaussée;Sans objet;Revêtu;A péage;Appartient;Double sens;;A64;Autoroute;0.12;124.3025077;124.30250769589776;"{""type"": ""LineString"", ""coordinates"": [[0.9423886404092311, 43.12862160417061], [0.9428340401314601, 43.1288433464309], [0.943652504531412, 43.129248555657604]]}";43.1289353999,0.943020413603
121;99826;99826;Type autoroutier;2 chaussée;Sans objet;Revêtu;A péage;Appartient;Double sens;;A64;Autoroute;4.34000015;4339.10094282;4339.100942822292;"{""type"": ""LineString"", ""coordinates"": [[0.33874807018193903, 43.10222910085149], [0.339366132027749, 43.10187539558686], [0.34003947308359, 43.10160134632512], [0.34077095816804304, 43.101237835273075], [0.34150570404663905, 43.10096349336454], [0.342361582556409, 43.100645338930036], [0.34303613898864005, 43.100424397860046], [0.34334163865245704, 43.10032394121399], [0.34413773737486103, 43.10005019538516], [0.34474912925663104, 43.09986728355089], [0.345484620263786, 43.099682927065935], [0.346096395179462, 43.09954501375658], [0.34720199952006403, 43.09940396140532], [0.34861301661771604, 43.09935140954588], [0.350393365841071, 43.099252129351655], [0.35591638724026003, 43.09945893888326], [0.35630140703093005, 43.09947198896214], [0.356720692487808, 43.09948767837894], [0.35728856804520104, 43.09953040985461], [0.36015684951813304, 43.099595342998974], [0.364789505047489, 43.09983026758968], [0.369274378965182, 43.10015587473853], [0.37435705597539304, 43.10056966072053], [0.375515021106459, 43.10068067266349], [0.376422803264989, 43.100675788825924], [0.37970136771622204, 43.10065840032369], [0.386844506360282, 43.10050975401117], [0.387277812436493, 43.10045997052477], [0.388182694735684, 43.10035592683733], [0.38890116001727904, 43.100273454513406], [0.38947642957563006, 43.100207305315095], [0.39092023423243505, 43.099971412270044]]}";43.1001277603,0.364627425168
126;99830;99830;Type autoroutier;2 chaussée;Sans objet;Revêtu;A péage;Appartient;Double sens;;A64;Autoroute;13.85000038;13846.9001879;13846.900187925683;"{""type"": ""LineString"", ""coordinates"": [[0.59439497697288, 43.10358978990251], [0.5947182313538091, 43.103671694563026], [0.5951643206886891, 43.103782435741714], [0.5958376026269531, 43.103952235928844], [0.597274186426869, 43.104312727914575], [0.5981079045495631, 43.104522985288426], [0.600103801421994, 43.10498949100694], [0.602697162029462, 43.10567891860585], [0.607438748383337, 43.10686773121197], [0.6093986255224031, 43.10740704914398], [0.611811500561188, 43.108100347534055], [0.6139114181150841, 43.10867058122662], [0.615761242826603, 43.10920104534213], [0.6186515811815041, 43.10984536381449], [0.6194718791493671, 43.110027261790385], [0.621764783832779, 43.11062679940256], [0.6234693535004421, 43.11101894717503], [0.6293088770380001, 43.1124397571465], [0.6310969586038201, 43.1128345198349], [0.63373298777796, 43.11327847212041], [0.634466742818883, 43.113386366930015], [0.634805004303931, 43.113434285280164], [0.636147789988854, 43.113696809828355], [0.6374422883975791, 43.1139690566958], [0.6386985160658051, 43.11427644250706], [0.639733802729266, 43.11446019584523], [0.64117442403126, 43.11470410383238], [0.641995339908628, 43.114813854861296], [0.643810633713502, 43.11505692754606], [0.6451275775577601, 43.11520179546794], [0.647697122035874, 43.11523182614873], [0.6498608678117, 43.11518275868015], [0.651041238406972, 43.11512211314039], [0.65289576863095, 43.11497446094195], [0.654480675871087, 43.11481190996515], [0.655844368332232, 43.11471291053171], [0.658510541946672, 43.114570219256315], [0.659641903515874, 43.11453630967721], [0.662368442466668, 43.11426705912451], [0.6637933138489831, 43.11420348037711], [0.665772751374272, 43.11415459750924], [0.6661917224043451, 43.11415107544156], [0.668501693134203, 43.1141290973278], [0.6700396578047411, 43.11415426637028], [0.6703462683308391, 43.11416539510297], [0.6744309319182721, 43.1142986225461], [0.675650375351848, 43.11442571479281], [0.675953919852302, 43.114452058358104], [0.677224478593478, 43.11456043906496], [0.678812268890257, 43.114721529871524], [0.680351559775622, 43.11492834373993], [0.6820885097107471, 43.11510699399935], [0.6836155866036271, 43.1153125982856], [0.6849831812024101, 43.115575042400295], [0.685400797773388, 43.11563620338806], [0.686387416041352, 43.115781567036805], [0.6881008728764101, 43.11614947700939], [0.6895918824481251, 43.11642890688996], [0.6908751163541821, 43.11674435545812], [0.693218813383717, 43.11738753396816], [0.6964758152112001, 43.118477601771254], [0.6969970608309111, 43.11865161009295], [0.7001200971533981, 43.1196235260721], [0.7019457651531721, 43.12017087168144], [0.7032784338408811, 43.12051331925127], [0.704573757168795, 43.12077577070985], [0.705965522558841, 43.12099166936259], [0.7075794565194721, 43.121304957313384], [0.7104040246208141, 43.121880600677024], [0.7110247766048711, 43.12202516062309], [0.711649178178538, 43.12217069425909], [0.7129804018019881, 43.122459000616665], [0.714424436352841, 43.12284596319432], [0.715707170742608, 43.12324298450201], [0.716573761929002, 43.12357088612082], [0.7170765554607621, 43.123685916852146], [0.717802118658866, 43.123852453375754], [0.719689454483691, 43.124245131909795], [0.7212807667718191, 43.124450655482086], [0.7231894942529521, 43.12458187843843], [0.7249988416859241, 43.12461648918667], [0.7254907265442151, 43.12460347646446], [0.7264634135294781, 43.12457811031196], [0.7279753143676061, 43.12446062609067], [0.7294000088813971, 43.124280096299934], [0.731045755269155, 43.124007022505566], [0.7323595312315301, 43.12370984287612], [0.733526863719903, 43.12351304596491], [0.7346928038985491, 43.12341428655607], [0.734902481885638, 43.12339259934128], [0.7358201676823001, 43.12329670797978], [0.736795854390059, 43.12319392867507], [0.7380135754278531, 43.123121415673076], [0.738848905257051, 43.12308945607347], [0.73976046749988, 43.123118476174675], [0.7410781873366811, 43.1232216886713], [0.7416709102965441, 43.12326830371261], [0.74252099962145, 43.12336169806867], [0.7432982893201181, 43.12346345912732], [0.745891336007612, 43.12397032920544], [0.7459734999687351, 43.123879367693426], [0.747121874124237, 43.12416792295928], [0.7479236997364891, 43.12433404944586], [0.7488382123779701, 43.12457180883405], [0.7499225345535421, 43.12477081496074], [0.7504285877818041, 43.12480387441304], [0.7542110807722431, 43.12514730443191], [0.756022833265782, 43.12527862264496], [0.756705186005663, 43.12529552746828], [0.7577459174930291, 43.12532078459263], [0.7589593283086371, 43.125328027244194]]}";43.1165498738,0.676489569598
127;100855;100855;Type autoroutier;1 chaussée;1 voie ou 2 voies étroite;Revêtu;Libre;Appartient;Sens unique;E80;;Sans objet;0.23;232.51620903;232.51620903134494;"{""type"": ""LineString"", ""coordinates"": [[1.421209555347249, 43.568777958685686], [1.420534332807516, 43.568308277617106], [1.4198215892824861, 43.56767336023638], [1.419695387910287, 43.567087473083646]]}";43.5680280368,1.42031237178
128;100856;100856;Type autoroutier;1 chaussée;1 voie ou 2 voies étroite;Revêtu;Libre;Appartient;Sens unique;E80;;Sans objet;0.81999999;824.92242826;824.9224282546554;"{""type"": ""LineString"", ""coordinates"": [[1.418037979676215, 43.564894523147814], [1.417857635040966, 43.565376053769114], [1.4173937543290211, 43.56604153587563], [1.4170180401169121, 43.56642662574069], [1.41655540249341, 43.566777149699455], [1.416344029791414, 43.56703684483627], [1.416191314582302, 43.56736848929332], [1.416188764477678, 43.56768522554825], [1.416371607152794, 43.56810095788871], [1.416682110908222, 43.56842045976283], [1.417146998036166, 43.568662118048785], [1.417680333152469, 43.56884537674659], [1.418224069139989, 43.568920793309935], [1.418969693037607, 43.56890105510579], [1.420109333913909, 43.568820451054115], [1.421209555347249, 43.568777958685686]]}";43.5677667188,1.41795352899
130;117704;117704;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;E80;A620;Autoroute;0.70999998;709.55281863;709.5528186315642;"{""type"": ""LineString"", ""coordinates"": [[1.488602641125513, 43.561726847837235], [1.489156786495918, 43.560795960316305], [1.489555821366358, 43.55992770601814], [1.4904176709747081, 43.55783482087742], [1.490634681134892, 43.55734649184266], [1.491020929725332, 43.55653925039489], [1.491434277139371, 43.55568918953484]]}";43.5587245218,1.49004846592
132;117706;117706;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;E80;A620;Autoroute;0.27000001;268.41269498;268.41269497651115;"{""type"": ""LineString"", ""coordinates"": [[1.421209555347249, 43.568777958685686], [1.422754227705254, 43.569046086363585], [1.424366600195373, 43.56950865794796]]}";43.5691008693,1.42279781905
133;117707;117707;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;E80;A620;Autoroute;0.14;144.46871774;144.46871773707744;"{""type"": ""LineString"", ""coordinates"": [[1.439896533433725, 43.574856153487374], [1.440432622958191, 43.575261620123854], [1.441229763922117, 43.57571762757686]]}";43.5753075926,1.44054947909
140;125533;125533;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;;A64;Autoroute;2.58999991;2589.65485337;2589.654853366581;"{""type"": ""LineString"", ""coordinates"": [[1.138440609139792, 43.27407056482744], [1.137490176373483, 43.27349091175408], [1.1238605840661111, 43.26546554392505], [1.117971587403126, 43.26206355759019], [1.115285256586527, 43.260438481325714], [1.114071871632009, 43.25963088324045], [1.113696905977861, 43.259388589883194]]}";43.2667635427,1.12604728079
149;125532;125532;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;;A64;Autoroute;4.07000017;4067.03322387;4067.0332238719184;"{""type"": ""LineString"", ""coordinates"": [[1.256130438849369, 43.3422183197433], [1.255748702325521, 43.341999808617445], [1.255400899852261, 43.341800739547985], [1.249404012446706, 43.33836104070147], [1.245915691764036, 43.33636182847489], [1.245330486120924, 43.33602660386825], [1.244841035690577, 43.335745119158204], [1.241477876845152, 43.33381527972066], [1.238557075684162, 43.33213998875778], [1.238193166066609, 43.33186681699434], [1.238069935433376, 43.33186570929789], [1.234706761336364, 43.32995095425362], [1.230982846202522, 43.32782953551999], [1.230000699378792, 43.32726098101667], [1.224275478309283, 43.32394129975612], [1.221403857116631, 43.32226185047355], [1.221011603378886, 43.322033144906676], [1.220879667275956, 43.3219553902216], [1.219764666352161, 43.321305372855456], [1.219419659943382, 43.321103533794606], [1.218932870739615, 43.320823774371895], [1.21858535096823, 43.32062369084966], [1.218230609726969, 43.32041808835061], [1.218017430872278, 43.32029760017246], [1.217295752558058, 43.319882589941024], [1.216787229581208, 43.31958896532306]]}";43.33092661,1.23644651821
