objectid_1;objectid;id_rte500;vocation;nb_chausse;nb_voies;etat;acces;res_vert;sens;res_europe;num_route;class_adm;longueur;st_length_;st_length(shape);geo_shape;geo_point_2d
47;44005;44005;Type autoroutier;1 chaussée;1 voie ou 2 voies étroite;Revêtu;Libre;Appartient;Sens unique;;D980;Départemental;0.31999999;318.12670052;318.1267005233042;"{""type"": ""LineString"", ""coordinates"": [[1.371004823982392, 43.609892073406826], [1.371286741123877, 43.609908899032156], [1.3718727971458171, 43.60990148283938], [1.3722552261860121, 43.609911712332185], [1.372585682866067, 43.60992026211011], [1.373960290488361, 43.61005873652555], [1.374899124335259, 43.61023387494462]]}";43.609994396,1.37295835873
50;45370;45370;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;;D900;Départemental;0.89999998;896.01560731;896.0156073055656;"{""type"": ""LineString"", ""coordinates"": [[2.901283432876463, 42.77150333505446], [2.901523778393055, 42.77227593685929], [2.90295016149285, 42.77688545781932], [2.9033252876651243, 42.77810956347821], [2.903706489628345, 42.77935975055024]]}";42.7754304421,2.90249853714
52;45366;45366;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;;D900;Départemental;0.33000001;331.82057328;331.82057328228507;"{""type"": ""LineString"", ""coordinates"": [[2.892487165140816, 42.744605755581496], [2.8929523950263962, 42.745027019023496], [2.89335904403626, 42.74546530598103], [2.893604914628478, 42.74576856087747], [2.893877411597325, 42.74618962916779], [2.894173135896461, 42.74725720287434]]}";42.7458287838,2.89350008966
54;45368;45368;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;;D900;Départemental;1.62;1621.21366948;1621.213669483278;"{""type"": ""LineString"", ""coordinates"": [[2.8960429203633273, 42.75363846574774], [2.896135055370114, 42.75397034056394], [2.8962720581705352, 42.75445781146509], [2.8964418033445583, 42.75505950593221], [2.896840697838051, 42.75648504225478], [2.900203412660783, 42.76788950666402]]}";42.7607683968,2.89810782424
60;45376;45376;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;;D900;Départemental;0.14;137.58332021;137.5833202073543;"{""type"": ""LineString"", ""coordinates"": [[2.891270068760891, 42.743753941189674], [2.892487165140816, 42.744605755581496]]}";42.7441798484,2.89187861695
68;78484;78484;Type autoroutier;1 chaussée;1 voie ou 2 voies étroite;Revêtu;Libre;N'appartient pas;Sens unique;;;Sans objet;1.00999999;1014.16182618;1014.1618261753401;"{""type"": ""LineString"", ""coordinates"": [[1.489328204670505, 43.559689664301864], [1.48987983182413, 43.55833578565339], [1.490089940255072, 43.557780768698116], [1.4902188902374771, 43.55744149926886], [1.490459468490249, 43.55676271940297], [1.490619128044806, 43.55614940704131], [1.490752744030023, 43.55572651158527], [1.490919691151025, 43.55535357396751], [1.491154665157438, 43.5551228660335], [1.491516848780854, 43.55490112456856], [1.49185499349023, 43.55474654048414], [1.492075932029881, 43.55467311816556], [1.492309058634698, 43.554653858648976], [1.492552080230714, 43.55463473603678], [1.492805218384919, 43.55465444901152], [1.492921155875322, 43.554668657179896], [1.493231956253606, 43.554707167629154], [1.49370518761611, 43.5548271222309], [1.493981342641613, 43.554912844459835], [1.494189718194924, 43.554940932188195], [1.4943281802935982, 43.554945552385846], [1.49464175293822, 43.55492560377712], [1.495081431093733, 43.55486240754456], [1.495255869958156, 43.5548162310472], [1.495512509432775, 43.554749595928065], [1.4958038526244222, 43.55458625201425], [1.496236599938672, 43.55431507858796], [1.496452947985158, 43.55408590149517]]}";43.5559674163,1.49215556667
69;78487;78487;Type autoroutier;1 chaussée;1 voie ou 2 voies étroite;Revêtu;Libre;N'appartient pas;Sens unique;;;Sans objet;0.49000001;487.74425247;487.7442524655813;"{""type"": ""LineString"", ""coordinates"": [[1.564229228127844, 43.68668141013135], [1.563281532183774, 43.686541104739824], [1.5626007742447632, 43.686339520489895], [1.5618217307986422, 43.6859035417422], [1.56151675595155, 43.68540542901097], [1.561519024883754, 43.685117470197795], [1.561623099004249, 43.684577967353476], [1.561981287510636, 43.683548643410546]]}";43.6855757902,1.56234605367
71;81519;81519;Type autoroutier;2 chaussée;Sans objet;Revêtu;Libre;Appartient;Double sens;;A68;Autoroute;0.63;634.70024116;634.7002411613875;"{""type"": ""LineString"", ""coordinates"": [[1.591474284737002, 43.74041869546347], [1.592301291080192, 43.74071018632429], [1.59399477786073, 43.74135485811776], [1.598613813511435, 43.74282648180614]]}";43.741658689,1.5950315932
82;92127;92127;Type autoroutier;2 chaussée;Sans objet;Revêtu;A péage;Appartient;Double sens;;A20;Autoroute;4.07000017;4069.55059883;4069.5505988262457;"{""type"": ""LineString"", ""coordinates"": [[1.501652207616642, 44.89616826787032], [1.5017573901410919, 44.89574014379567], [1.502063189180584, 44.894061217234636], [1.5023394143490112, 44.89254038159713], [1.5025972122213491, 44.89094995868457], [1.502779368656854, 44.88958274275653], [1.502817371062184, 44.88948780129053], [1.503936139604829, 44.88667618715305], [1.504499652282754, 44.88525647510938], [1.5065620122087662, 44.87972631525174], [1.506969728427294, 44.87839725199579], [1.507168283726156, 44.877598473910496], [1.5075406833561642, 44.87492898791831], [1.5075346947381432, 44.873344024454696], [1.507321199789657, 44.87203812915914], [1.506762253720427, 44.87019899445001], [1.505984075031451, 44.86855771919418], [1.504370506744707, 44.86600198628623], [1.5028407973474192, 44.86268103589075], [1.5025358244829419, 44.861867373604724], [1.5024377098185542, 44.86160580579685], [1.502141032057154, 44.86081386642879], [1.502077632359738, 44.86062750816192]]}";44.8781711342,1.50480103224
86;92130;92130;Type autoroutier;2 chaussée;Sans objet;Revêtu;A péage;Appartient;Double sens;;A20;Autoroute;22.70999908;22711.8922878;22711.892287811283;"{""type"": ""LineString"", ""coordinates"": [[1.512478805204892, 44.53052310846629], [1.512249290677881, 44.52953589215266], [1.511942405905792, 44.528236999258425], [1.511798186939282, 44.52740489868057], [1.5107791309886789, 44.52390305935582], [1.5092302494405812, 44.52064436477073], [1.506976355530322, 44.51673684193614], [1.5064348260216192, 44.51584803872323], [1.503478444755034, 44.51263323398799], [1.501429950287907, 44.51011677535347], [1.501170647487878, 44.509835935650145], [1.4990211390721502, 44.507340569722196], [1.496615580430699, 44.50426182800449], [1.496000095105471, 44.50342058714854], [1.495403198745123, 44.50216542160616], [1.495065535144291, 44.501192007150955], [1.494702334454943, 44.50028036962931], [1.4942002280209261, 44.49858620652152], [1.493956058992601, 44.49731604050091], [1.494008600370414, 44.49539174954293], [1.494032256927469, 44.494645659540446], [1.494598571907566, 44.49208641559058], [1.494858653714485, 44.49153083133743], [1.495273992749167, 44.49067123711866], [1.495673474977504, 44.489981596470216], [1.496460375832828, 44.488629158630175], [1.498002295715316, 44.48659911578946], [1.500457737538846, 44.48421682869638], [1.502776890856986, 44.481986605354145], [1.503941183226038, 44.48061943754663], [1.504628523583601, 44.47916746040002], [1.504905268677852, 44.4780709620602], [1.50507345676399, 44.4770846377294], [1.505220690997621, 44.47641495908206], [1.505176882174221, 44.475123238012735], [1.5050584832688552, 44.473846712996504], [1.5048171974145501, 44.47322308873296], [1.504194496650119, 44.471141999655586], [1.503247590150572, 44.468817910859016], [1.502456825119083, 44.466487832900214], [1.502067426387427, 44.464623290749216], [1.501968280746883, 44.46414204968275], [1.502073664916496, 44.46168278872406], [1.50213657162682, 44.46087421744776], [1.502188506147354, 44.46066964044251], [1.502570688032174, 44.45948275298068], [1.5031676486758152, 44.458112406804], [1.503659705492589, 44.45718991461116], [1.5038795237014, 44.456768828406474], [1.504034525992888, 44.45646931129438], [1.504257441883154, 44.45607347666671], [1.504522898679111, 44.455589983575834], [1.504872937327262, 44.45495007435134], [1.505316853384335, 44.453801834054694], [1.505698394938856, 44.45182621832142], [1.505813215851489, 44.45000184939555], [1.5058581139108882, 44.44944423654191], [1.505693476509136, 44.44616110544698], [1.5051112494257062, 44.44222586053697], [1.504132556016117, 44.43879213613718], [1.50387832274669, 44.437333714366794], [1.503714764420714, 44.434823112245255], [1.50363464934023, 44.4336713750695], [1.503677774676368, 44.4329435766065], [1.5039056972305191, 44.43211744838267], [1.504359701318196, 44.4311044152157], [1.505424578171913, 44.42951174054168], [1.5066139664645362, 44.42805489714857], [1.508244143519998, 44.42641313804195], [1.508868827877936, 44.42554555657499], [1.509462569267004, 44.424659546610826], [1.511551495105386, 44.419135361117796], [1.513212029263053, 44.41708789614191], [1.516041994188964, 44.41494182655244], [1.519503536681182, 44.413276858110265], [1.521750695076736, 44.41145053947278], [1.523219934091786, 44.40963535926491], [1.523907690480915, 44.40806718799174], [1.524394759918751, 44.40648732214108], [1.5243746803958151, 44.4052824040784], [1.5241519900542122, 44.40423773240317], [1.523850072530049, 44.40339007240652], [1.523264882167191, 44.4025215074415], [1.521882385649212, 44.40097419321807], [1.520135624274313, 44.39914466452904], [1.519080007941123, 44.397733156185915], [1.518548194487134, 44.39703724807838], [1.517590727616586, 44.39557302617498], [1.5171732128185629, 44.39415838425453], [1.5166387937276862, 44.39188685149448], [1.515819676961875, 44.388024198200014], [1.5146448884370969, 44.385137204452754], [1.513805089601925, 44.38345846212585], [1.510951539769521, 44.379588106747576], [1.507560773196254, 44.376540498364704], [1.503107183463694, 44.37335049062458], [1.498472537555672, 44.368818145599526], [1.4965675638745521, 44.36544923289471], [1.496345960919413, 44.364341507218974], [1.4958104031698491, 44.361540483751405], [1.4961965874286172, 44.3580083941093], [1.4974509820645912, 44.354053313526165], [1.498384771442135, 44.351110312752205], [1.499081783016343, 44.34810285821429], [1.499486692559208, 44.34607906761847], [1.499692726184069, 44.34497899051355], [1.499753353778356, 44.344205546042275], [1.499929557298359, 44.342478443933736]]}";44.4358890029,1.50613581494
